id,address,region,state,city,neighborhood,sub_neighborhood,locality,latitude,longitude,data,police_action,agent_presence,police_unit,main_reason,complementary_reason,clippings,massacre,civilians_dead,civilians_wounded,agents_dead,agents_wounded,men_dead,men_wounded,women_dead,women_wounded,kids_dead,kids_wounded,teenagers_dead,teenagers_wounded,elderly_dead,elderly_wounded
32868,"Rua Tonelero - Copacabana, Rio de Janeiro - RJ, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,COPACABANA,,,-22.9671077000,-43.1861717000,"31/12/2019, 21:01:00",false,false,,Tiros a esmo,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32840,"R. Firmino Leite - Vila Dagmar, Belford Roxo - RJ, 26130-100, Brasil",Sudeste,Rio de Janeiro,Belford Roxo,CENTRO,VILA DAGMAR,,-22.7631296000,-43.4032877000,"31/12/2019, 22:35:00",false,false,,Não identificado,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32841,"Antares, Santa Cruz, Rio de Janeiro - RJ, 23510-360, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,SANTA CRUZ,,FAVELA DE ANTARES,-22.9216218000,-43.6634616000,"31/12/2019, 22:42:00",false,false,,Não identificado,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32850,"Venda da Cruz, Niterói - RJ, Brasil",Sudeste,Rio de Janeiro,São Gonçalo,VENDA DA CRUZ,,,-22.8605500000,-43.0889990000,"01/01/2020, 00:00:00",false,true,,Homicidio/Tentativa,,,false,0,0,1,0,0,0,0,0,0,0,0,0,0,0
32847,"Av. Santa Luzia - Santa Luzia, São Gonçalo - RJ, Brasil",Sudeste,Rio de Janeiro,São Gonçalo,SANTA LUZIA,,,-22.7901876000,-42.9838252000,"01/01/2020, 04:35:00",true,true,N�o identificado,Ação policial,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32852,"Morro da Caixa D'água - Penha, Rio de Janeiro - RJ, 21070-000, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,PENHA,,MORRO DA CAIXA D'AGUA (COMPLEXO DA PENHA),-22.8420386000,-43.2888077000,"01/01/2020, 13:30:00",false,false,,Não identificado,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32854,"Complexo da Penha - Penha, Rio de Janeiro - RJ, 21070-390, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,PENHA,,COMPLEXO DA PENHA,-22.8459830000,-43.2832516000,"01/01/2020, 15:12:00",false,false,,Não identificado,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32853,"Morro do Juramento - Vicente de Carvalho, Rio de Janeiro - RJ, 21370, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,VICENTE DE CARVALHO,,MORRO DO JURAMENTO (COMPLEXO DO JURAMENTO),-22.8627778000,-43.3152778000,"01/01/2020, 15:14:00",false,false,,Não identificado,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32855,"R. Arabori - Rocha Miranda, Rio de Janeiro - RJ, 21545, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,ROCHA MIRANDA,,,-22.8460549000,-43.3462394000,"01/01/2020, 18:00:00",false,false,,Não identificado,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32856,"Estr. Santa Bertília, 710 - Inhoaíba, Rio de Janeiro - RJ, 23062-100, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,INHOAIBA,,LOTEAMENTO SANTA BERTILHA,-22.9042245000,-43.5979835000,"01/01/2020, 22:26:00",false,false,,Não identificado,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32867,"Vila da Penha, Rio de Janeiro - RJ, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,VILA DA PENHA,,,-22.8440802000,-43.3094623000,"02/01/2020, 16:50:00",false,false,,Não identificado,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32874,"R. Francisco Meireles - Tiradentes, São Gonçalo - RJ, 24733, Brasil",Sudeste,Rio de Janeiro,São Gonçalo,TIRADENTES,,,-22.8292113000,-42.9757026000,"02/01/2020, 19:00:00",false,false,,Homicidio/Tentativa,,,false,1,0,0,0,0,0,0,0,0,0,0,0,0,0
32875,"Vila Kennedy, Rio de Janeiro - RJ, 21850-007, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,VILA KENNEDY,,VILA KENNEDY,-22.8604006000,-43.4884116000,"02/01/2020, 20:00:00",true,true,N�o identificado,Operação policial,,,false,1,0,0,0,0,0,0,0,0,0,0,0,0,0
32869,"R. Alvorada, 107 - Mirambi, São Gonçalo - RJ, 24731-200, Brasil",Sudeste,Rio de Janeiro,São Gonçalo,MIRIAMBI,,,-22.8201380000,-42.9869070000,"03/01/2020, 03:20:00",true,true,N�o identificado,Ação policial,,,false,1,1,0,0,0,0,0,0,0,0,0,1,0,0
32884,"Caramujo, Niterói - RJ, Brasil",Sudeste,Rio de Janeiro,Niterói,CARAMUJO,,,-22.8882102000,-43.0644088000,"03/01/2020, 13:30:00",false,false,,Não identificado,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32878,"Parque Sao Jose, Belford Roxo - RJ, Brasil",Sudeste,Rio de Janeiro,Belford Roxo,SAO JOSE,,,-22.7399515000,-43.3355012000,"03/01/2020, 15:20:00",false,false,,Não identificado,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32891,"Para Pedro, Colégio, Rio de Janeiro - RJ, 21235-280, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,COLEGIO,,FAVELA PARA PEDRO,-22.8385298000,-43.3341193000,"03/01/2020, 17:00:00",true,true,PM,Ação policial,,,false,1,0,0,0,0,0,0,0,0,0,0,0,0,0
32879,"Miriambi, São Gonçalo - RJ, Brasil",Sudeste,Rio de Janeiro,São Gonçalo,MIRIAMBI,,,-22.8233382000,-42.9866413000,"03/01/2020, 17:17:00",false,false,,Não identificado,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
