objectid,nome,regiao_adm,area_plane,codbairro,codra,codbnum,link,rp,cod_rp,codbairro_long,st_areashape,st_perimetershape
325,Paquetá,PAQUETA                 ,1,013,21,13,Paqueta&area=013                                  ,Centro,1.1,13,1705689.11782654,24841.4599844384
326,Freguesia (Ilha),ILHA DO GOVERNADOR      ,3,098,20,98,Freguesia (Ilha)          &area=98                ,Ilha do Governador,3.7,98,4056413.75801144,18303.6213854477
327,Bancários,ILHA DO GOVERNADOR      ,3,097,20,97,Bancários                 &area=97                ,Ilha do Governador,3.7,97,978049.182262859,7758.79189486875
328,Galeão,ILHA DO GOVERNADOR      ,3,104,20,104,Galeão                    &area=104               ,Ilha do Governador,3.7,104,18957473.3780977,21510.0883960412
329,Tauá,ILHA DO GOVERNADOR      ,3,101,20,101,Tauá                      &area=101               ,Ilha do Governador,3.7,101,1672550.27813077,8246.12071968437
330,Portuguesa,ILHA DO GOVERNADOR      ,3,103,20,103,Portuguesa                &area=103               ,Ilha do Governador,3.7,103,1186412.64980725,5101.52977232383
331,Moneró,ILHA DO GOVERNADOR      ,3,102,20,102,Moneró                    &area=102               ,Ilha do Governador,3.7,102,520558.878021699,3538.29017348438
333,Vigário Geral,VIGARIO GERAL           ,3,048,31,48,Vigário Geral             &area=48                ,Penha,3.5,48,3385317.1813614,8077.09307832437
334,Cocotá,ILHA DO GOVERNADOR      ,3,096,20,96,Cocotá                    &area=96                ,Ilha do Governador,3.7,96,490103.738674535,4799.07811656246
335,Jardim América,VIGARIO GERAL           ,3,049,31,49,Jardim América            &area=49                ,Penha,3.5,49,1973973.76310678,6129.78580894803
336,Jardim Carioca,ILHA DO GOVERNADOR      ,3,100,20,100,Jardim Carioca            &area=100               ,Ilha do Governador,3.7,100,1621130.57517773,6150.88808071301
337,Pavuna,PAVUNA                  ,3,114,25,114,Pavuna                    &area=114               ,Pavuna,3.6,114,8311428.03028447,18418.0818556461
