stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
1001O00010C1,,Barão de Tefé,,-22.897488,-43.186627,,,0,,,,
1002O00010C0,,AquaRio,,-22.89331,-43.1926,,,0,,,,
1002O00013C0,,Hospital dos Servidores,,-22.89538,-43.18789,,,0,,,,
1003O00067C2,,Cidade do Samba,,-22.894509,-43.197401,,,0,,,,
1003VZ0052E9,,Cordeiro da Graça,,-22.897111,-43.204214,,,1,,,,
1003VZ0060P1,,Cordeiro da Graça,,-22.897132,-43.204272,,,0,1003VZ0052E9,,,
1004O00003C0,,Monsenhor Manuel Gomes,,-22.8886,-43.22001,,,0,,,,
1004O00005C0,,Péter Lund,,-22.88464,-43.2265,,,0,,,,
1001O00006C0,,Sacadura Cabral,,-22.89731,-43.18737,,,0,,,,
1002O00007C0,,Jardins Suspensos do Valongo,,-22.8984,-43.18773,,,0,,,,
1002O00014C0,,Sacadura Cabral,,-22.897114,-43.191729,,,0,,,,
1001O00008C0,,Barão de Tefé,,-22.8959,-43.18638,,,0,,,,
1002O00006C0,,João Álvares,,-22.897439,-43.194748,,,0,,,,
1002O00001C0,,Livramento,,-22.89797,-43.1954,,,0,,,,
1002O00004C0,,Mortona,,-22.89541,-43.1964,,,0,,,,
1002O00008C0,,Ladeira do Faria,,-22.90064,-43.19296,,,0,,,,
1003O00023C0,,Cidade do Samba,,-22.89451,-43.198069,,,0,,,,
1003O00017C0,,Santo Cristo,,-22.901242,-43.206571,,,0,,,,
1004O00008C0,,Brasil,,-22.88385,-43.22547,,,0,,,,
1004O00014C0,,Brasil,,-22.88343,-43.22595,,,0,,,,
1004O00009C9,,Creche Municipal Ladeira dos Funcionários,,-22.879491,-43.224601,,,0,,,,
1004O00013C0,,CIEP Henfil,,-22.876802,-43.218708,,,0,,,,
1003O00042C0,,CMS José Messias do Carmos,,-22.900666,-43.200768,,,0,,,,
1002O00012C2,,Moinho Fluminense,,-22.894498,-43.190443,,,0,,,,
1004O00018C0,,Ponto Final: Caju :: General Sampaio,,-22.877428,-43.216143,,,0,,,,
1003O00031C0,,Dinah de Queiroz :: Sentido Ponte / T. Gentileza / São Cristóvão,,-22.906314,-43.209542,,,0,,,,
1004O00006C0,,Bela,,-22.88546,-43.22908,,,0,,,,
1003O00029C0,,Comandante Garcia Pires :: Sentido São Cristóvão / Linha Vermelha,,-22.901252,-43.20969,,,0,,,,
1004O00026C0,,Estaleiro Inhaúma,,-22.874689,-43.210347,,,0,,,,
