route_id,trip_id,service_id,trip_headsign,trip_short_name,direction_id,shape_id
20000101130,bd25caa1-9f74-4111-a0cf-4c58a17f2b3f,U_REG,Terminal Alvorada,10,0,e4px
20000111110,23171292-e0cb-47dc-9c2f-e213a55a5f4d,U_REG,Terminal Alvorada,11,0,eeg0
20000121130,b8dd9412-f8f7-42d8-898a-38dbd0800f0e,U_REG,Terminal Alvorada,12,0,jv6a
20000131130,0b9e80d0-b6d7-490f-94ec-46754f69f8cd,U_REG,Terminal Alvorada,13,0,mqyb
20000141130,37c4b0d3-2f5d-4d8b-9bf7-74860f14f0a2,U_REG,Terminal Recreio,14,0,u0sq
20000151130,0433ada7-e51b-42fc-85c7-efd09a94c909,U_REG,Terminal Curral Falso,15,1,qga2
20000161130,bd1269b2-2922-4f74-bcee-f9c4cf5516f5,U_REG,Magarça,16,1,8jpz
20000171110,4dbe7e49-15cc-4069-a772-bb302fbf5dcf,U_REG,Campo Grande,17,1,aq7f
20000181130,e1fe6b3c-2535-4f1e-aa95-0542c781f416,U_REG,Jardim Oceânico,18,0,luyz
20000191130,ce07a4f8-a2ce-4a78-b640-37758f534d22,U_REG,Pingo D'Água,19,1,9sit
20000201130,50806942-5d07-4a56-beb5-dc536e2779c2,U_REG,Salvador Allende,20,0,lueg
20000221110,de780422-5f4d-45ec-811a-c03e569b10cd,U_REG,Terminal Alvorada,22,1,csy6
20000251130,140a70cf-877d-4448-8182-7aa6cc9be0db,U_REG,Terminal Alvorada,25,0,kf99
20000281130,1de07425-5af2-4d63-a63b-b4aed4df201e,U_REG,Curral Falso,28,0,sgno
20000311140,665266ab-6287-4bc3-99d2-4ffffaa2df91,U_REG,Terminal Alvorada,31,0,gq0l
20000351110,12c5348f-6eac-481b-adb8-38068ab0cc35,U_REG,Terminal Alvorada,35,0,6a84
20000401130,bd1013dd-84ac-4c63-a9bd-09001de4ab69,U_REG,Terminal Paulo da Portela,40,1,rdr3
20000411130,82550b05-8d95-40ca-b9ce-e5bcddf1dfe9,U_REG,Terminal Recreio,41,0,ypaj
20000421110,ca5e1dd9-c8dc-4dd7-b5f4-fb25ca666299,U_REG,Manacéia-Madureira,42,0,alqu
20000431130,3bba5b0f-d14a-4293-8d2c-26cd6edfdc0c,U_REG,Santa Efigênia,43,0,8jzx
20000461130,76392fc4-6958-4f48-9e9f-6d6513fa3b5b,U_REG,Terminal Alvorada,46,0,4fxk
20000501110,a2fccf39-eca6-424f-b250-e0dafbdf7dfe,U_REG,Jardim Oceânico,50,0,xh8z
20000511110,b404b932-cd6c-4479-8089-2acdea93346f,U_REG,Terminal Recreio,51,0,rr22
20000521110,f6918e7e-6984-489a-9c53-ba888d111110,U_REG,Terminal Deodoro,52,1,ik1c
20000531130,6011b3dc-c592-46d1-990d-6b4d52cd59a7,U_REG,Terminal Alvorada,53,0,ggo7
20000601110,e575c8ca-ff13-4e1d-b0ce-3436a41fee00,U_REG,Terminal Gentileza,60,0,ilq4
20000611130,0359ba04-1653-407d-8df3-b44a034ddeea,U_REG,Terminal Gentileza,61,0,e59t
20000671130,6ffb7d9f-efcb-492d-a7f6-6a26aa51aaf0,U_REG,Terminal Deodoro,67,0,wh45
20000681130,c045bf48-c0b2-4b26-88a5-320015ef1a09,U_REG,Bangu,68,1,3ets
20000711130,29041330-d11f-4245-878c-974f3e1658b4,U_REG,Terminal Gentileza,71,0,pxw5
20000801110,f4312d9d-e7f2-43a9-87ab-902c39a41846,U_REG,Terminal Gentileza,80,0,hca3
20000901110,58807492-c7fc-4a77-aef0-793489e3da23,U_REG,Terminal Gentileza,90,0,w3rb
20000EXEC1110,d50154df-7f47-421e-9dd4-ec430658099f,U_REG,Terminal Gentileza,ESP01,0,kv8q
E2024AAA0A,e2e1c679-5586-4117-b499-6e74c376f5c2,U_REG,Leblon,2024,1,hf8v
E2110AAA0A,022afa86-cc9c-4443-b52f-f17a9cdf7419,U_REG,Castelo,2110,0,50ix
E2111AAA0A,f8cc5be0-c854-4855-9582-091d1920bb0b,U_REG,Castelo,2111,0,ll66
E2112AAA0A,036cfe0e-c37c-442e-8ab6-c3d15b14df75,U_REG,Castelo,2112,0,r2g7
E2114AAA0A,38bc641f-2a75-4fa0-878e-cecb4e2d95cc,U_REG,Castelo,2114,0,vtie
E2303AAA0A,d165915f-ec3b-4279-b93c-bbece534e71f,U_REG,Cesarão,2303,1,o5oj
E2305AAA0A,433fd071-749c-4572-ae88-0527305fc4e5,U_REG,Castelo,2305,0,o0it
E2307AAA0A,f9064229-d8e0-425e-96cd-e27156d46908,U_REG,Carioca,2307,0,2hap
E2308AAA0A,837344f3-6e49-46f2-a0e3-5be2a0f25dbf,U_REG,Cosmos,2308,1,iyt3
E2309AAA0A,1f7dfe05-0c0f-4f6c-90a6-0c550fec233a,U_REG,Carioca,2309,0,q42g
E2310AAA0A,1c117c32-4937-43f6-a292-0b47bca9ddd7,U_REG,Bangu,2310,1,831p
E2334AAA0A,d036c318-8236-47d2-86e1-362618e0dcb5,U_REG,Castelo,2334,0,w918
E2335AAA0A,fa9563a7-4644-429b-ac92-a999845e1a2d,U_REG,Castelo,2335,0,gbqf
E2336AAA0A,a076abc9-efd5-4179-ade5-fa1ecfa6809b,U_REG,Castelo,2336,0,83td
E2337AAA0A,8ddee42f-3b6b-4849-b9e3-5f8068d28c3c,U_REG,Castelo,2337,0,gbda
E2338AAA0A,31e2c2c0-749f-49d4-8f13-b592f9ca77ef,U_REG,Terminal Campo Grande,2338,1,6yh6
E2339AAA0A,9fa4289d-dc89-465a-8dbf-b8eab3d3c93c,U_REG,Castelo,2339,0,is2i
E2342AAA0A,c0ac5d66-33f7-4e0f-b090-53021c9f740f,U_REG,Bananal,2342,1,ac19
E2343AAA0A,6f823fbe-5cd7-4f1f-8962-29fb4158e2a7,U_REG,Ribeira,2343,1,dtsa
E2344AAA0A,607396b0-db24-45da-a6b7-b759e20d3714,U_REG,Castelo,2344,0,w98c
E2345AAA0A,f681f6f5-4cce-4618-bd2e-c21d249c3eb8,U_REG,Castelo,2345,0,6xgk
E2381AAA0A,fb8923de-7eb6-435c-80ad-23bee8c01b98,U_REG,Pedra de Guaratiba,2381,1,qo22
E2383AAA0A,49bef96c-5b82-4045-9474-0f739cf5a4d8,U_REG,Carioca,2383,0,efei
E2613AAA0A,84f12353-38a9-4877-bcd0-32b0a5532dbe,U_REG,Riocentro,LECD125,1,62h7
E2614AAA0A,97edf300-340c-47fc-920f-472f6d5d4a43,U_REG,Metrô Del Castilho,LECD124,0,nh83
E2802AAA0A,1b5d08b7-7f24-4818-844f-2c9ab8e0a160,U_REG,Santa Cruz,2802,1,2cxi
E2803AAA0A,0f1dc0ea-2e98-4506-b48f-bd1b5830f563,U_REG,Barra da Tijuca,2803,0,kq0s
E2804AAA0A,890504c1-5670-406e-910c-d91f939206d8,U_REG,Barra da Tijuca,2804,0,je1l
E2918AAA0A,42df3d5b-5e9a-468d-b25f-855efe2056ff,U_REG,Circular,2918,0,E2918AAA0AIDU01
O0006AAA0A,198e098b-3a8f-4f27-9914-4964ca19a7c1,U_REG,Castelo,006,0,fm9l
O0007AAA0A,ce47c87f-fc13-4d0f-a87a-fab416d27191,U_REG,Central,007,0,e2fc
O0007AAN0A,c3725730-592d-407e-9264-c049b1548915,U_REG,Silvestre,SN007,1,2114
O0010AAA0A,58dac3ea-316d-41ad-883c-a2103135d6b9,U_REG,Central do Brasil,010,0,01o6
O0013AAA0A,a4074dd6-1b59-4042-aff9-397b0e8474ff,U_REG,Paula Matos,013,1,vth5
O0014AAA0A,7ecd312f-6f88-46bb-8920-7c886c5e5f4c,U_REG,Paula Matos,014,1,pcm0
O0100AAA0A,856cfbe1-bcda-4560-b50e-638607714ca5,U_REG,Metrô General Osório,100,1,hq21
O0104AAA0A,c0eb8edb-d6ed-4a35-928c-ee89ce4b5962,U_REG,Terminal Gentileza,104,0,sc8o
